,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
통계분류(1),통계분류(2),자연 및 풍경감상,음식관광(지역 맛집 등),휴식/휴양,가족/친지/친구 방문,역사 유적지 방문,테마파크 놀이시설 동/식물원 방문,시티투어,쇼핑,드라마 촬영지 방문,야외 위락 및 스포츠 레포츠 활동,지역 문화예술/공연/전시시설 관람,종교/성지순례,지역 축제/이벤트 참가,교육/체험 프로그램 참가,온천/스파,유흥/오락,회의참가/시찰,교육/훈련/연수,스포츠 경기관람,카지노 경마 경륜 등,기타,자연 및 풍경감상,음식관광(지역 맛집 등),휴식/휴양,가족/친지/친구 방문,역사 유적지 방문,테마파크 놀이시설 동/식물원 방문,시티투어,쇼핑,드라마 촬영지 방문,야외 위락 및 스포츠 레포츠 활동,지역 문화예술/공연/전시시설 관람,종교/성지순례,지역 축제/이벤트 참가,교육/체험 프로그램 참가,온천/스파,유흥/오락,회의참가/시찰,교육/훈련/연수,스포츠 경기관람,카지노 경마 경륜 등,기타,자연 및 풍경감상,음식관광(지역 맛집 등),휴식/휴양,가족/친지/친구 방문,역사 유적지 방문,테마파크 놀이시설 동/식물원 방문,시티투어,쇼핑,드라마 촬영지 방문,야외 위락 및 스포츠 레포츠 활동,지역 문화예술/공연/전시시설 관람,종교/성지순례,지역 축제/이벤트 참가,교육/체험 프로그램 참가,온천/스파,유흥/오락,회의참가/시찰,교육/훈련/연수,스포츠 경기관람,카지노 경마 경륜 등,기타
전체,소계,78.1,53.9,57.6,16.3,8.5,5.5,5.9,7.8,3.7,6.4,3.2,2.2,1.5,1.4,2.3,2.5,1.4,1.1,0.1,0.1,0.6,81.3,62,58.8,15.3,9.4,7.6,6.6,7.9,5.2,5.3,2.8,2.5,1.1,1.5,0.9,1.6,1.1,0.9,0.1,0.1,0.2,81,61.4,59.6,13.8,9.6,7.4,7.4,5.8,5,4.9,3,2.6,1.4,1.3,1.2,1.2,0.8,0.8,0.1,0,1.2
성별,남자,77.1,52.6,56.8,15.7,8.3,5.2,5.3,6.9,3.5,8.2,2.8,1.6,1.4,1.6,1.9,2.8,2.3,1.7,0.1,0.1,0.8,80.6,61,57.6,14.3,9.4,6.9,6.2,7.1,5.2,6.8,2.9,2.1,1.2,1.7,1,1.9,1.6,1.4,0.1,0,0.2,80.6,60.2,58.9,13.7,9.2,6.8,6.9,4.3,4.9,6.3,2.5,2.2,1.5,1.5,1.1,1.5,1.2,1.3,0.1,0.1,1.4
성별,여자,79.1,55.1,58.4,16.8,8.7,5.8,6.6,8.7,3.8,4.5,3.5,2.8,1.7,1.1,2.8,2.1,0.6,0.4,0.1,0.2,0.5,82.1,62.9,59.8,16.2,9.5,8.3,6.9,8.6,5.3,3.8,2.8,2.8,0.9,1.4,0.9,1.3,0.7,0.4,0.1,0.1,0.1,81.4,62.6,60.2,13.8,9.9,8,7.9,7.2,5,3.6,3.4,3,1.4,1.2,1.4,0.9,0.4,0.3,0.1,0,1
연령,15~19세,66.3,51.1,52.3,20.8,8.8,9.8,6.1,12.3,4.3,7.4,4.4,2,1.8,1.2,1.4,2.6,-,0.8,-,-,0.2,69.9,60.8,52.8,19.5,7.5,10.1,8,10,4.8,4.2,5.5,0.8,0.6,1.2,0.5,3.4,-,0.5,-,0.1,-,70.8,57.5,51.6,19.1,10.4,11.8,9,7,4.9,4.4,4.4,0.8,1.1,2.9,0.4,2.1,0.1,0.9,0.1,0.2,2.2
연령,20대,78.9,56.3,59,10.1,7.4,7.2,8.8,8.7,4.4,6.7,3.7,1,1.2,1.3,1.4,4.8,0.9,0.6,0.1,0.1,0.6,79.7,64.6,59.6,10.7,9,9.6,8.4,8.8,6.9,5,3.7,1.3,1.1,0.9,0.8,3,0.4,0.4,0.1,-,0,78,61.8,59.4,8.7,9,9.2,9.4,8.8,5.1,6.2,3.3,1.3,1.8,0.9,0.7,2.6,0.3,0.3,0.1,0,1.1
연령,30대,79.5,53.9,60.8,13.8,8.4,6.7,6.7,8.2,3.8,6.3,3.3,1.4,2,2.1,2.6,2.7,2.2,1.6,0.1,0.3,0.5,81.5,61.6,62.2,11.2,9.1,10.8,7.1,8.1,6,4.8,3,1.9,1.2,2.7,0.8,1.7,1.4,1.1,0.2,0,0,81.7,59.6,61.5,11.4,8.8,10.3,8,5.7,5.9,4.7,3.7,1.7,1.3,2.2,1.4,1.4,1.2,1.2,0.1,0,0.9
연령,40대,79.4,54.5,58.1,18.2,9.6,5.2,5,7.2,3.8,5.4,3.8,2.6,1.3,1.6,2.2,1.4,1.8,1.3,0,0.1,0.5,82.7,62.1,61.4,16.3,10.5,8.6,6.5,7.8,4.8,5.6,2.4,2.3,1.3,1.8,0.9,1,1.5,1.2,0.1,0.1,0.3,82,60.9,62.1,14.3,9.8,8.3,5.9,5.1,5.2,5.2,2.9,2.8,1.8,1.5,1.1,0.7,0.8,1.2,0.1,0,1
연령,50대,78.1,51.4,55.5,17.6,8.8,4.2,4.9,7.4,2.9,8.3,2.5,3.2,1.4,0.9,2.2,1.6,1.6,1.2,-,0,0.6,83.5,60.1,57.8,18.3,9.5,4.3,5.4,7.2,4.2,6.2,2.5,3.5,0.7,1.1,0.8,0.8,1.2,0.9,0.2,0.1,0.2,83.1,63.1,59.6,15.5,10.1,4.8,7.4,4.8,4.2,4.7,2.5,3.4,1.2,1.1,1.5,0.6,1,0.9,0.1,0.1,1.2
